codigo_dane,departamento,municipio,subregion,habitantes,temperatura_promedio,altura,festival,fecha,sitio_1,maps_1,sitio_2,maps_2,sitio_3,maps_3,hotel_1,wa_1,hotel_2,wa_2,hotel_3,wa_3,latitud,longitud,fuente_geo,bandera_url
"15051","Boyacá","Arcabuco","","5240.0","12.5","2667.0","","","","","","","","","","","","","","","5.72389","-73.46781","geonames",""
"15087","Boyacá","Belén","","9041.0","13.9","2652.0","","","","","","","","","","","","","","","5.97631","-72.92481","geonames",""
"15090","Boyacá","Berbeo","","1913.0","18.9","1365.0","","","","","","","","","","","","","","","5.2276","-73.12527","geonames",""
"15092","Boyacá","Betéitiva","","2479.0","13.0","2831.0","","","","","","","","","","","","","","","5.89428","-72.87079","geonames",""
"15097","Boyacá","Boavita","","7079.0","19.8","1514.0","","","","","","","","","","","","","","","6.30737","-72.64308","geonames",""
"15104","Boyacá","Boyacá","","5074.0","13.3","2337.0","","","","","","","","","","","","","","","5.44871","-73.35142","geonames",""
"15106","Boyacá","Briceño","","8783.0","18.9","1363.0","","","","","","","","","","","","","","","7.05001","-75.50903","geonames",""
"15109","Boyacá","Buenavista","","18344.0","25.8","43.0","","","","","","","","","","","","","","","8.17697","-75.44481","geonames",""
"15114","Boyacá","Busbanzá","","1156.0","13.0","2666.0","","","","","","","","","","","","","","","5.8435","-72.86991","geonames",""
"15131","Boyacá","Caldas","","82234.0","17.0","1756.0","","","","","","","","","","","","","","","6.09106","-75.63569","geonames",""
"15135","Boyacá","Campohermoso","","4065.0","22.8","642.0","","","","","","","","","","","","","","","4.97733","-73.16714","geonames",""
"15162","Boyacá","Cerinza","","4312.0","5.9","3765.0","","","","","","","","","","","","","","","5.93649","-72.99127","geonames",""
"15172","Boyacá","Chinavita","","3528.0","15.2","1917.0","","","","","","","","","","","","","","","5.17915","-73.37147","geonames",""
"15176","Boyacá","Chiquinquirá","","72274.0","12.2","2671.0","","","","","","","","","","","","","","","5.61363","-73.83848","geonames",""
"15180","Boyacá","Chiscas","","5372.0","6.7","3497.0","","","","","","","","","","","","","","","6.69329","-72.42433","geonames",""
"15183","Boyacá","Chita","","10844.0","7.5","3412.0","","","","","","","","","","","","","","","6.07788","-72.46774","geonames",""
"15185","Boyacá","Chitaraque","","6711.0","16.2","1831.0","","","","","","","","","","","","","","","5.96167","-73.45761","geonames",""
"15187","Boyacá","Chivatá","","6199.0","9.8","3022.0","","","","","","","","","","","","","","","5.54085","-73.28469","geonames",""
"15189","Boyacá","Ciénega","","5242.0","10.1","2919.0","","","","","","","","","","","","","","","5.36332","-73.29746","geonames",""
"15204","Boyacá","Cómbita","","14632.0","9.2","3161.0","","","","","","","","","","","","","","","5.6876","-73.32942","geonames",""
"15212","Boyacá","Coper","","4201.0","19.3","1252.0","","","","","","","","","","","","","","","5.4362","-74.0321","geonames",""
"15215","Boyacá","Corrales","","2544.0","14.8","2432.0","","","","","","","","","","","","","","","5.82497","-72.84539","geonames",""
"15218","Boyacá","Covarachía","","3324.0","14.3","2285.0","","","","","","","","","","","","","","","6.51933","-72.73996","geonames",""
"15223","Boyacá","Cubará","","6614.0","14.3","2128.0","","","","","","","","","","","","","","","6.88556","-72.19","geonames",""
"15224","Boyacá","Cucaita","","4687.0","11.1","2905.0","","","","","","","","","","","","","","","5.52741","-73.44631","geonames",""
"15226","Boyacá","Cuítiva","","2011.0","12.0","2883.0","","","","","","","","","","","","","","","5.59156","-72.96278","geonames",""
"15232","Boyacá","Chíquiza","","6073.0","9.7","3053.0","","","","","","","","","","","","","","","5.62009","-73.49619","geonames",""
"15236","Boyacá","Chivor","","1795.0","19.8","1158.0","","","","","","","","","","","","","","","4.83951","-73.37391","geonames",""
"15238","Boyacá","Duitama","","128400.0","8.4","3371.0","","","","","","","","","","","","","","","5.86361","-73.08988","geonames",""
"15244","Boyacá","El Cocuy","","5582.0","6.0","3821.0","","","","","","","","","","","","","","","6.32839","-72.43577","geonames",""
"15248","Boyacá","El Espino","","3997.0","9.9","3069.0","","","","","","","","","","","","","","","6.50812","-72.48036","geonames",""
"15272","Boyacá","Firavitoba","","6316.0","11.5","2898.0","","","","","","","","","","","","","","","5.64045","-73.05079","geonames",""
"15276","Boyacá","Floresta","","4884.0","14.1","2543.0","","","","","","","","","","","","","","","5.85903","-72.92511","geonames",""
"15293","Boyacá","Gachantivá","","2654.0","13.1","2460.0","","","","","","","","","","","","","","","5.74417","-73.54253","geonames",""
"15296","Boyacá","Gameza","","5669.0","4.2","3929.0","","","","","","","","","","","","","","","5.80313","-72.73721","geonames",""
"15299","Boyacá","Garagoa","","16944.0","13.1","2320.0","","","","","","","","","","","","","","","5.09222","-73.31602","geonames",""
"15317","Boyacá","Guacamayas","","2132.0","12.5","2668.0","","","","","","","","","","","","","","","6.44599","-72.51676","geonames",""
"15322","Boyacá","Guateque","","9603.0","15.5","1923.0","","","","","","","","","","","","","","","5.01481","-73.4882","geonames",""
"15325","Boyacá","Guayatá","","5126.0","12.2","2478.0","","","","","","","","","","","","","","","4.91935","-73.52968","geonames",""
"15332","Boyacá","Güicán","","7869.0","4.5","4098.0","","","","","","","","","","","","","","","6.5368","-72.27308","geonames",""
"15362","Boyacá","Iza","","2116.0","13.5","2581.0","","","","","","","","","","","","","","","5.62589","-72.97823","geonames",""
"15367","Boyacá","Jenesano","","7436.0","14.5","2208.0","","","","","","","","","","","","","","","5.37701","-73.37721","geonames",""
"15368","Boyacá","Jericó","","12789.0","16.5","1828.0","","","","","","","","","","","","","","","5.78054","-75.76096","geonames",""
"15377","Boyacá","Labranzagrande","","5345.0","17.2","1530.0","","","","","","","","","","","","","","","5.54242","-72.60233","geonames",""
"15380","Boyacá","La Capilla","","2550.0","12.1","2466.0","","","","","","","","","","","","","","","5.08076","-73.48076","geonames",""
"15401","Boyacá","La Victoria","","13247.0","20.4","960.0","","","","","","","","","","","","","","","4.47621","-75.98118","geonames",""
"15403","Boyacá","La Uvita","","3621.0","13.4","2441.0","","","","","","","","","","","","","","","6.24262","-72.56448","geonames",""
"15407","Boyacá","Villa de Leyva","","16984.0","15.1","2230.0","","","","","","","","","","","","","","","5.67061","-73.51554","geonames",""
"15425","Boyacá","Macanal","","4821.0","19.0","1285.0","","","","","","","","","","","","","","","4.9505","-73.32029","geonames",""
"15442","Boyacá","Maripí","","7914.0","20.2","1109.0","","","","","","","","","","","","","","","5.55733","-74.0544","geonames",""
"15455","Boyacá","Miraflores","","11311.0","24.6","230.0","","","","","","","","","","","","","","","1.3098","-72.0419","geonames",""
"15464","Boyacá","Mongua","","5264.0","10.2","2946.0","","","","","","","","","","","","","","","5.67452","-72.71729","geonames",""
"15466","Boyacá","Monguí","","5002.0","8.7","3283.0","","","","","","","","","","","","","","","5.69752","-72.83359","geonames",""
"15469","Boyacá","Moniquirá","","20848.0","17.4","1671.0","","","","","","","","","","","","","","","5.87638","-73.57284","geonames",""
"15476","Boyacá","Motavita","","6772.0","10.4","2901.0","","","","","","","","","","","","","","","5.5784","-73.36773","geonames",""
