codigo_dane,departamento,municipio,subregion,provincia,categoria_municipal,cabecera_municipal,poblacion,altitud_ms_nm,temperatura_promedio,superficie_km2,latitud,longitud,anio_fundacion,gentilicio,festival_principal,fecha_inicio,fecha_fin,descripcion_festival,sitio_1,maps_1,sitio_2,maps_2,sitio_3,maps_3,hotel_1,wa_1,hotel_2,wa_2,hotel_3,wa_3,fuente_datos,estado_enriquecimiento,observaciones
05361,Antioquia,Ituango,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05364,Antioquia,Jardín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05368,Antioquia,Jericó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05376,Antioquia,La Ceja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05380,Antioquia,La Estrella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05390,Antioquia,La Pintada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05400,Antioquia,La Unión,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05411,Antioquia,Liborina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05425,Antioquia,Maceo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05440,Antioquia,Marinilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05467,Antioquia,Montebello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05475,Antioquia,Murindó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05480,Antioquia,Mutatá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05483,Antioquia,Nariño,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05490,Antioquia,Necoclí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05495,Antioquia,Nechí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05501,Antioquia,Olaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05541,Antioquia,Peñol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05543,Antioquia,Peque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05576,Antioquia,Pueblorrico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05579,Antioquia,Puerto Berrío,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05585,Antioquia,Puerto Nare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05591,Antioquia,Puerto Triunfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05604,Antioquia,Remedios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05607,Antioquia,Retiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05615,Antioquia,Rionegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05628,Antioquia,Sabanalarga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05631,Antioquia,Sabaneta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05642,Antioquia,Salgar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05647,Antioquia,San Andrés de Cuerquía,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05649,Antioquia,San Carlos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05652,Antioquia,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05656,Antioquia,San Jerónimo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05658,Antioquia,San José de La Montaña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05659,Antioquia,San Juan de Urabá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05660,Antioquia,San Luis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05664,Antioquia,San Pedro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05665,Antioquia,San Pedro de Uraba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05667,Antioquia,San Rafael,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
05670,Antioquia,San Roque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
